nRegistro,fechaRegistro,temperaturaC,tempAmb,humedadPorc,humedadSuelo,fecha,hora
71,2022-08-22 23:40:56,18.0,13.0,81.0,100.0,2022-08-22,23:40:56
72,2022-08-22 23:41:56,18.0,13.0,80.0,100.0,2022-08-22,23:41:56
73,2022-08-22 23:42:56,18.0,13.0,81.0,100.0,2022-08-22,23:42:56
74,2022-08-22 23:43:56,18.0,13.0,81.0,100.0,2022-08-22,23:43:56
75,2022-08-22 23:44:56,18.0,13.0,81.0,100.0,2022-08-22,23:44:56
76,2022-08-22 23:45:57,18.0,13.0,80.0,100.0,2022-08-22,23:45:57
77,2022-08-22 23:46:57,18.0,13.0,80.0,100.0,2022-08-22,23:46:57
78,2022-08-22 23:47:57,18.0,13.0,80.0,100.0,2022-08-22,23:47:57
79,2022-08-22 23:49:01,18.0,13.0,81.0,100.0,2022-08-22,23:49:01
80,2022-08-22 23:50:06,18.0,13.0,81.0,100.0,2022-08-22,23:50:06
81,2022-08-22 23:51:07,18.0,13.0,81.0,100.0,2022-08-22,23:51:07
82,2022-08-22 23:52:09,18.0,13.0,81.0,100.0,2022-08-22,23:52:09
83,2022-08-22 23:53:10,18.0,13.0,81.0,100.0,2022-08-22,23:53:10
84,2022-08-22 23:54:10,18.0,13.0,81.0,100.0,2022-08-22,23:54:10
85,2022-08-22 23:55:20,18.0,12.926553672316384,78.38983050847457,62.14689265536723,2022-08-22,23:55:20
86,2022-08-22 23:56:22,18.0,13.0,81.0,100.0,2022-08-22,23:56:22
87,2022-08-22 23:57:23,18.0,13.0,80.0,100.0,2022-08-22,23:57:23
88,2022-08-22 23:58:23,18.0,13.0,81.0,100.0,2022-08-22,23:58:23
89,2022-08-22 23:59:24,18.0,13.0,81.0,100.0,2022-08-22,23:59:24
90,2022-08-23 00:01:06,18.0,13.0,80.0,100.0,2022-08-23,00:01:06
91,2022-08-23 00:02:06,18.0,13.0,81.0,100.0,2022-08-23,00:02:06
92,2022-08-23 00:03:07,18.0,13.0,81.0,100.0,2022-08-23,00:03:07
93,2022-08-23 00:04:07,18.0,13.0,81.0,100.0,2022-08-23,00:04:07
94,2022-08-23 00:05:07,18.0,13.0,81.0,100.0,2022-08-23,00:05:07
95,2022-08-23 00:06:07,18.0,13.0,80.0,100.0,2022-08-23,00:06:07
96,2022-08-23 00:07:07,18.0,13.0,80.0,100.0,2022-08-23,00:07:07
97,2022-08-23 00:08:07,18.0,13.0,81.0,100.0,2022-08-23,00:08:07
98,2022-08-23 00:09:08,18.0,13.0,81.0,100.0,2022-08-23,00:09:08
99,2022-08-23 00:10:08,18.0,13.0,81.0,100.0,2022-08-23,00:10:08
100,2022-08-23 00:11:12,18.0,13.0,81.0,100.0,2022-08-23,00:11:12
101,2022-08-23 00:12:16,18.0,12.926553672316384,78.38983050847457,62.14689265536723,2022-08-23,00:12:16
102,2022-08-23 00:13:18,18.0,13.0,81.0,100.0,2022-08-23,00:13:18
103,2022-08-23 00:14:18,18.0,13.0,82.0,100.0,2022-08-23,00:14:18
104,2022-08-23 00:15:19,18.0,13.0,80.0,62.14689265536723,2022-08-23,00:15:19
105,2022-08-23 00:16:19,18.0,13.0,81.0,100.0,2022-08-23,00:16:19
106,2022-08-23 00:17:20,18.0,13.0,81.0,100.0,2022-08-23,00:17:20
107,2022-08-23 00:18:20,18.0,13.0,80.0,100.0,2022-08-23,00:18:20
108,2022-08-23 00:19:23,18.0,13.0,81.0,100.0,2022-08-23,00:19:23
109,2022-08-23 00:20:24,18.0,13.0,81.0,100.0,2022-08-23,00:20:24
110,2022-08-23 00:21:31,18.0,13.0,81.0,100.0,2022-08-23,00:21:31
111,2022-08-23 00:22:33,18.0,13.0,81.0,100.0,2022-08-23,00:22:33
112,2022-08-23 07:42:24,17.0,13.0,82.0,62.14689265536723,2022-08-23,07:42:24
113,2022-08-23 07:42:26,17.0,13.0,85.0,62.14689265536723,2022-08-23,07:42:26
135,2022-08-23 07:46:05,17.0,13.0,82.0,62.14689265536723,2022-08-23,07:46:05
136,2022-08-23 07:47:09,17.0,13.0,82.0,62.14689265536723,2022-08-23,07:47:09
137,2022-08-23 08:02:05,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:02:05
138,2022-08-23 08:03:06,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:03:06
139,2022-08-23 08:04:07,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:04:07
140,2022-08-23 08:05:18,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:05:18
141,2022-08-23 08:06:27,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:06:27
142,2022-08-23 08:07:32,19.03954802259887,13.0,82.0,62.14689265536723,2022-08-23,08:07:32
143,2022-08-23 08:08:33,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:08:33
144,2022-08-23 08:09:34,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:09:34
145,2022-08-23 08:10:34,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:10:34
146,2022-08-23 08:11:35,17.0,13.0,82.0,62.14689265536723,2022-08-23,08:11:35
147,2022-08-23 08:12:39,17.0,13.0,81.0,62.14689265536723,2022-08-23,08:12:39
148,2022-08-23 08:13:57,17.0,13.0,81.0,62.14689265536723,2022-08-23,08:13:57
149,2022-08-23 08:15:00,17.0,13.0,81.0,62.14689265536723,2022-08-23,08:15:00
150,2022-08-23 08:16:00,17.0,13.0,81.0,62.14689265536723,2022-08-23,08:16:00
151,2022-08-23 08:17:04,17.0,13.0,82.0,100.0,2022-08-23,08:17:04
152,2022-08-23 08:18:08,17.0,13.0,81.0,100.0,2022-08-23,08:18:08
153,2022-08-23 08:19:13,17.0,13.0,81.0,100.0,2022-08-23,08:19:13
154,2022-08-23 08:20:14,17.0,13.0,81.0,100.0,2022-08-23,08:20:14
155,2022-08-23 08:21:14,17.0,13.0,81.0,100.0,2022-08-23,08:21:14
156,2022-08-23 08:22:15,17.0,13.0,82.0,100.0,2022-08-23,08:22:15
157,2022-08-23 08:23:29,17.0,13.0,82.0,100.0,2022-08-23,08:23:29
158,2022-08-23 08:24:39,17.0,13.0,82.0,100.0,2022-08-23,08:24:39
159,2022-08-23 08:25:40,17.0,13.0,82.0,100.0,2022-08-23,08:25:40
160,2022-08-23 08:26:58,17.0,13.0,82.0,100.0,2022-08-23,08:26:58
161,2022-08-23 10:49:44,17.0,13.0,82.0,62.14689265536723,2022-08-23,10:49:44
162,2022-08-23 10:50:44,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:50:44
163,2022-08-23 10:51:44,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:51:44
164,2022-08-23 10:52:44,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:52:44
165,2022-08-23 10:53:50,19.03954802259887,13.0,84.0,62.14689265536723,2022-08-23,10:53:50
166,2022-08-23 10:54:52,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:54:52
167,2022-08-23 10:55:59,17.0,12.926553672316384,78.38983050847457,62.14689265536723,2022-08-23,10:55:59
168,2022-08-23 10:56:59,17.0,13.0,84.0,62.14689265536723,2022-08-23,10:56:59
