"nRegistro","fechaRegistro","temperaturaC","tempAmb","humedadPorc","humedadSuelo"
"96","2022-08-23 00:07:07","18.00","13.00","80.00","100.00"
"97","2022-08-23 00:08:07","18.00","13.00","81.00","100.00"
"98","2022-08-23 00:09:08","18.00","13.00","81.00","100.00"
"99","2022-08-23 00:10:08","18.00","13.00","81.00","100.00"
"100","2022-08-23 00:11:12","18.00","13.00","81.00","100.00"
"101","2022-08-23 00:12:16","18.00","0.00","0.00","0.00"
"102","2022-08-23 00:13:18","18.00","13.00","81.00","100.00"
"103","2022-08-23 00:14:18","18.00","13.00","82.00","100.00"
"104","2022-08-23 00:15:19","18.00","13.00","80.00","0.00"
"105","2022-08-23 00:16:19","18.00","13.00","81.00","100.00"
"106","2022-08-23 00:17:20","18.00","13.00","81.00","100.00"
"107","2022-08-23 00:18:20","18.00","13.00","80.00","100.00"
"108","2022-08-23 00:19:23","18.00","13.00","81.00","100.00"
"109","2022-08-23 00:20:24","18.00","13.00","81.00","100.00"
"110","2022-08-23 00:21:31","18.00","13.00","81.00","100.00"
"111","2022-08-23 00:22:33","18.00","13.00","81.00","100.00"
"112","2022-08-23 07:42:24","17.00","13.00","82.00","0.00"
"113","2022-08-23 07:42:26","17.00","13.00","85.00","0.00"
"135","2022-08-23 07:46:05","17.00","13.00","82.00","0.00"
"136","2022-08-23 07:47:09","17.00","13.00","82.00","0.00"
"137","2022-08-23 08:02:05","17.00","13.00","82.00","0.00"
"138","2022-08-23 08:03:06","17.00","13.00","82.00","0.00"
"139","2022-08-23 08:04:07","17.00","13.00","82.00","0.00"
"140","2022-08-23 08:05:18","17.00","13.00","82.00","0.00"
"141","2022-08-23 08:06:27","17.00","13.00","82.00","0.00"
"142","2022-08-23 08:07:32","0.00","13.00","82.00","0.00"
"143","2022-08-23 08:08:33","17.00","13.00","82.00","0.00"
"144","2022-08-23 08:09:34","17.00","13.00","82.00","0.00"
"145","2022-08-23 08:10:34","17.00","13.00","82.00","0.00"
"146","2022-08-23 08:11:35","17.00","13.00","82.00","0.00"
"147","2022-08-23 08:12:39","17.00","13.00","81.00","0.00"
"148","2022-08-23 08:13:57","17.00","13.00","81.00","0.00"
"149","2022-08-23 08:15:00","17.00","13.00","81.00","0.00"
"150","2022-08-23 08:16:00","17.00","13.00","81.00","0.00"
"151","2022-08-23 08:17:04","17.00","13.00","82.00","100.00"
"152","2022-08-23 08:18:08","17.00","13.00","81.00","100.00"
"153","2022-08-23 08:19:13","17.00","13.00","81.00","100.00"
"154","2022-08-23 08:20:14","17.00","13.00","81.00","100.00"
"155","2022-08-23 08:21:14","17.00","13.00","81.00","100.00"
"156","2022-08-23 08:22:15","17.00","13.00","82.00","100.00"
"157","2022-08-23 08:23:29","17.00","13.00","82.00","100.00"
"158","2022-08-23 08:24:39","17.00","13.00","82.00","100.00"
"159","2022-08-23 08:25:40","17.00","13.00","82.00","100.00"
"160","2022-08-23 08:26:58","17.00","13.00","82.00","100.00"
"161","2022-08-23 10:49:44","17.00","13.00","82.00","0.00"
"162","2022-08-23 10:50:44","17.00","13.00","84.00","0.00"
"163","2022-08-23 10:51:44","17.00","13.00","84.00","0.00"
"164","2022-08-23 10:52:44","17.00","13.00","84.00","0.00"
"165","2022-08-23 10:53:50","0.00","13.00","84.00","0.00"
"166","2022-08-23 10:54:52","17.00","13.00","84.00","0.00"
"167","2022-08-23 10:55:59","17.00","0.00","0.00","0.00"
"168","2022-08-23 10:56:59","17.00","13.00","84.00","0.00"
"169","2022-08-23 10:57:59","17.00","13.00","84.00","0.00"
"170","2022-08-23 10:58:59","17.00","13.00","84.00","0.00"
"171","2022-08-23 10:59:59","17.00","13.00","84.00","0.00"
"172","2022-08-23 11:00:59","17.00","13.00","84.00","0.00"
"173","2022-08-23 11:02:00","18.00","13.00","85.00","0.00"
"174","2022-08-23 11:03:00","18.00","13.00","84.00","0.00"
"175","2022-08-23 11:04:00","18.00","13.00","83.00","0.00"
"176","2022-08-23 11:05:00","18.00","13.00","82.00","0.00"
"177","2022-08-23 11:06:00","18.00","13.00","82.00","0.00"
"178","2022-08-23 11:07:00","18.00","13.00","82.00","0.00"
"179","2022-08-23 11:08:01","18.00","14.00","82.00","0.00"
"180","2022-08-23 11:09:01","18.00","13.00","81.00","0.00"
"181","2022-08-23 11:10:01","18.00","14.00","81.00","0.00"
"182","2022-08-23 11:11:01","18.00","13.00","81.00","0.00"
"183","2022-08-23 11:12:01","18.00","14.00","81.00","0.00"
"184","2022-08-23 11:13:01","18.00","14.00","81.00","0.00"
"185","2022-08-23 11:14:02","18.00","14.00","81.00","0.00"
"186","2022-08-23 11:15:04","18.00","14.00","81.00","0.00"
"187","2022-08-23 11:15:27","18.00","14.00","81.00","0.00"
"188","2022-08-23 11:16:26","18.00","14.00","81.00","0.00"
"189","2022-08-23 11:21:30","18.00","14.00","81.00","0.00"
"190","2022-08-23 11:26:33","18.00","13.00","81.00","0.00"
"191","2022-08-23 11:31:34","18.00","13.00","82.00","0.00"
"192","2022-08-23 11:36:35","18.00","13.00","82.00","0.00"
"193","2022-08-23 11:41:36","18.00","13.00","82.00","0.00"
"194","2022-08-23 11:46:37","18.00","13.00","82.00","0.00"
"195","2022-08-23 11:51:38","18.00","13.00","82.00","0.00"
"196","2022-08-23 11:56:39","20.00","15.00","77.00","0.00"
"197","2022-08-23 12:01:39","22.00","17.00","68.00","0.00"
"198","2022-08-23 12:06:57","22.00","17.00","69.00","0.00"
